,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-06-16 00:00:00+00:00,,,,,,,,,,12.967007595,,18.835015073,12.6499002653,19.3888837999,41.7116223635,14.6727668855,,13.3594520263,21.8216129153,19.8915632169,,
2000-06-19 00:00:00+00:00,,,,,,,,,,12.5485213817,,18.6748432913,12.9819601472,19.1948611532,43.0232603598,14.703057486,,13.5771684775,21.9519776788,19.8684692968,,
2000-06-20 00:00:00+00:00,,,,,,,,,,12.3180507135,,18.5739943917,12.8132948104,18.5994123409,43.1459867221,14.4425583217,,13.433568265,21.9230077314,19.4373827874,,
2000-06-21 00:00:00+00:00,,,,,,,,,,12.2634655552,,18.9121348198,12.7184205584,18.6730071379,43.529506604,14.7272899664,,13.4752586493,21.8216129153,19.30651724,,
2000-06-22 00:00:00+00:00,,,,,,,,,,12.2634655552,,18.4078903218,12.7078789748,18.2648905362,42.1871870171,14.406209601,,13.3918778808,21.7709155073,19.2218395328,,
2000-06-23 00:00:00+00:00,,,,,,,,,,12.2695305728,,18.639249562,12.6182755146,18.4589131829,41.2897504933,14.5758369639,,13.433568265,21.365336243,19.3450071069,,
2000-06-26 00:00:00+00:00,,,,,,,,,,11.990539764,,18.4909423567,12.8132948104,18.9004819651,41.5658848083,14.7696968071,,13.3918778808,21.1625466109,19.3450071069,,
2000-06-27 00:00:00+00:00,,,,,,,,,,12.4696761531,,18.3604320161,12.939793813,18.9874576343,41.1593537334,14.9938472509,,13.0305612171,21.1190916897,19.8915632169,,
2000-06-28 00:00:00+00:00,,,,,,,,,,12.4454160828,,18.2061925226,12.8396487693,19.2216228976,41.5658848083,14.9938472509,,13.1371033102,21.0249393605,19.8222814565,,
2000-06-29 00:00:00+00:00,,,,,,,,,,12.2149454146,,18.2417862518,12.8291071857,18.8871010929,40.7528226585,15.1271258931,,12.9286513889,21.3436087824,19.4835706277,,
2000-06-30 00:00:00+00:00,,,,,,,,,,11.9116945354,,17.9985624351,12.5181304708,18.9205532734,41.5658848083,15.2846370157,,12.6229219042,21.4087911642,19.6991138824,,
2000-07-03 00:00:00+00:00,,,,,,,,,,12.2452705025,,18.1112759112,12.750045309,19.1747898449,41.849689521,15.3149276163,,12.9981353627,21.365336243,19.9685429507,,
2000-07-05 00:00:00+00:00,,,,,,,,,,12.2998556607,,17.3638075965,12.8870858952,19.0075289426,40.5073699341,15.3512763369,,13.1139419856,21.5029434934,20.2071801256,,
2000-07-06 00:00:00+00:00,,,,,,,,,,11.9784097288,,17.5358439546,12.987230939,18.9540054538,41.1363425405,15.3755088173,,13.1278387804,21.4594885722,20.3534416198,,
2000-07-07 00:00:00+00:00,,,,,,,,,,11.9238245705,,17.6188959896,13.2086041937,19.0476715591,41.8036671352,15.2664626554,,13.266806728,21.6405507438,21.3387822126,,
